"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.797802300E-2,1.347690821E-1,-2.000331879E-3,5.058021545E-1,5.234525063E-1
2.043925400E-2,1.538190842E-1,-9.305047989E-2,6.427516937E-1,6.674192402E-1
2.290286900E-2,1.896662712E-1,-1.156604290E-1,7.539453506E-1,7.859925070E-1
2.536402300E-2,2.066018581E-1,-1.606423855E-1,8.619337082E-1,9.007885552E-1
2.782763900E-2,2.108465433E-1,-1.853210926E-1,9.472398758E-1,9.879592879E-1
3.028886900E-2,2.348464727E-1,-2.082710266E-1,1.067239761E0,1.112443434E0
3.275248500E-2,2.828863859E-1,-2.133235931E-1,1.138623238E0,1.192474125E0
3.521371600E-2,2.828863859E-1,-2.343235016E-1,1.170723915E0,1.226999061E0
3.767734500E-2,2.395243645E-1,-1.778457165E-1,1.120365143E0,1.159404620E0
4.013857600E-2,3.305027485E-1,-2.358133793E-1,1.082211494E0,1.155864064E0
4.260211400E-2,3.069807291E-1,-2.200722694E-1,1.038304329E0,1.104873229E0
4.506334500E-2,2.948949337E-1,-2.579133511E-1,1.021137238E0,1.093710920E0
4.752696000E-2,2.762068510E-1,-2.397592068E-1,9.687852859E-1,1.035528673E0
4.998819000E-2,3.140418530E-1,-2.516238689E-1,9.086999893E-1,9.938171499E-1
5.245180600E-2,3.227444887E-1,-2.421448231E-1,8.262891769E-1,9.195389738E-1
5.491295900E-2,3.485246897E-1,-2.419791222E-1,6.851787567E-1,8.059114613E-1
5.734674200E-2,3.009551764E-1,-1.908540726E-1,4.817228317E-1,5.992129686E-1
5.978052700E-2,3.200051785E-1,-2.148540020E-1,2.927227020E-1,4.839960090E-1
6.230145000E-2,3.041026592E-1,-1.701705456E-1,3.072261810E-2,3.498289885E-1
6.476268100E-2,3.499754667E-1,-8.424496651E-2,-2.373533249E-1,4.311805220E-1
6.722629600E-2,2.673509121E-1,8.377194405E-2,-5.784406662E-1,6.427191090E-1
6.968745000E-2,4.732406139E-2,2.325172424E-1,-7.122955322E-1,7.507787690E-1
7.215105500E-2,-1.642664671E-1,3.285126686E-1,-6.925182343E-1,7.838912874E-1
7.461228600E-2,-6.836990118E-1,4.829590321E-1,-6.681795120E-1,1.071054446E0
7.707590200E-2,-1.236756325E0,8.195688725E-1,-6.565084457E-1,1.622424939E0
7.953713200E-2,-7.210578918E-1,8.067605495E-1,-3.429651260E-1,1.135082440E0
8.200077200E-2,-4.867975712E-1,7.378969193E-1,-1.485443115E-2,8.841291721E-1
8.446192600E-2,-5.485459566E-1,7.524664402E-1,4.539775848E-2,9.322925327E-1
8.692554100E-2,-7.042882442E-1,7.727186680E-1,2.242565155E-2,1.045762392E0
8.938677200E-2,-6.868500710E-1,7.461597919E-1,1.761245728E-2,1.014311419E0
9.185038700E-2,-7.329388857E-1,6.703958511E-1,4.160690308E-2,9.941635387E-1
9.431161800E-2,-6.244421005E-1,6.129894257E-1,6.586933136E-2,8.775093969E-1
9.677523300E-2,-5.020632744E-1,5.245671272E-1,8.772850037E-3,7.261646957E-1
9.923638700E-2,-2.916605473E-1,4.160301685E-1,-5.797576904E-2,5.113786911E-1
1.017000030E-1,-1.570991278E-1,3.041980267E-1,-1.759958267E-1,3.849559798E-1
1.041612330E-1,1.482200623E-2,1.149263382E-1,-2.579269409E-1,2.827614930E-1
1.066248390E-1,1.490051746E-1,-2.743840218E-2,-3.466835022E-1,3.783448938E-1
1.090860690E-1,2.928104401E-1,-8.647727966E-2,-4.426784515E-1,5.377550420E-1
1.115496850E-1,2.654913664E-1,4.677057266E-2,-6.008691788E-1,6.585718807E-1
1.140109160E-1,2.934173346E-1,1.684186459E-1,-8.208112717E-1,8.878004935E-1
1.164744540E-1,3.782665730E-1,1.853828430E-1,-9.836645126E-1,1.070069284E0
1.189356990E-1,4.620888233E-1,1.180686951E-1,-1.004581451E0,1.112047746E0
1.213993140E-1,4.663529992E-1,-1.878380775E-2,-9.752297401E-1,1.081161874E0
1.238605450E-1,4.520738125E-1,-1.868824959E-1,-8.751678467E-1,1.002603889E0
1.263241600E-1,3.614361286E-1,-2.577929497E-1,-8.982810974E-1,1.001999107E0
1.287853140E-1,2.893701792E-1,-2.928037643E-1,-1.021266937E0,1.101115481E0
1.312489200E-1,1.974198818E-1,-1.750800610E-1,-1.165510654E0,1.195007416E0
1.337101500E-1,1.404385567E-1,-3.622794151E-2,-1.333425045E0,1.341289604E0
1.361737660E-1,8.186149597E-2,1.461389065E-1,-1.465162754E0,1.474706676E0
1.386349970E-1,6.481754780E-2,2.368557453E-1,-1.505065918E0,1.524967336E0
1.410986120E-1,2.783441544E-2,3.087811470E-1,-1.533341408E0,1.564370936E0
1.435597610E-1,-1.811778545E-2,3.034522533E-1,-1.555220127E0,1.584651750E0
1.460233760E-1,-9.565877914E-2,3.847985268E-1,-1.670633316E0,1.717042861E0
1.484846070E-1,-1.475471258E-1,4.154131413E-1,-1.715429783E0,1.771168420E0
1.509482220E-1,-2.251749039E-1,4.527306557E-1,-1.778783321E0,1.849253603E0
1.534094530E-1,-3.588536978E-1,4.642529488E-1,-1.783497810E0,1.877543932E0
1.558730640E-1,-4.594159126E-1,5.790996552E-1,-1.831239700E0,1.974805872E0
1.583342170E-1,-5.530688763E-1,6.543831825E-1,-1.880881310E0,2.066837447E0
1.607978330E-1,-6.280018091E-1,7.887942791E-1,-1.863668442E0,2.118924904E0
1.632590640E-1,-6.154710054E-1,8.719110489E-1,-1.786285400E0,2.080828914E0
1.657226790E-1,-6.290442944E-1,9.501907825E-1,-1.693148613E0,2.040909472E0
1.681839200E-1,-6.163730621E-1,9.569804668E-1,-1.577540398E0,1.945343433E0
